occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
30261,6.516667,46.833332,138.3,"(0.679703, 0.0776426, 0.729367)",305,600.0,<pygplates.pygplates.Feature object at 0x0000029072425970>,,,,,,,,,,,,,,,,,,,,,,,,,,,37.034559994902686,31.282921594426483,,,,,,,,,,,,,,,,,,,,
30690,6.516667,46.833332,106.75,"(0.679703, 0.0776426, 0.729367)",305,600.0,<pygplates.pygplates.Feature object at 0x0000029072425890>,,,,,,,,,,,,,,,,,,,,,25.74049620652427,37.66327492581527,,,,,,,,,,,,,,,,,,,,,,,,,,
40163,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x00000290724257B0>,,,,,,,,,,,-46.56430940620412,35.215885864786905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40167,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x0000029072425820>,,,,,,,,,,,-46.56430940620412,35.215885864786905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40168,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x00000290724259E0>,,,,,,,,,,,-46.56430940620412,35.215885864786905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137487,99.599998,43.299999,77.05,"(-0.12137, 0.717581, 0.685818)",451,600.0,<pygplates.pygplates.Feature object at 0x0000029072425900>,,,,,,,,,,,,,,,97.43274912448048,44.55143233764787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146083,-65.940002,-17.687,68.3,"(0.388422, -0.869956, -0.303817)",201,600.0,<pygplates.pygplates.Feature object at 0x0000029072425740>,,,,,,,,,,,,,-47.46387684894963,-23.546895362262433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147094,-107.199997,35.700001,77.05,"(-0.24014, -0.775766, 0.583541)",101,600.0,<pygplates.pygplates.Feature object at 0x00000290724256D0>,,,,,,,,,,,,,,,-71.12598989816495,41.598995908555196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149242,-2.428333,51.623055,204.9,"(0.620275, -0.0263045, 0.783943)",315,600.0,<pygplates.pygplates.Feature object at 0x0000029072425A50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.931226082952234,35.333780663022615,,,,,,
149250,-2.428333,51.623055,204.9,"(0.620275, -0.0263045, 0.783943)",315,600.0,<pygplates.pygplates.Feature object at 0x0000029072425AC0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.931226082952234,35.333780663022615,,,,,,
149257,-2.428333,51.623055,204.9,"(0.620275, -0.0263045, 0.783943)",315,600.0,<pygplates.pygplates.Feature object at 0x0000029072425BA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.931226082952234,35.333780663022615,,,,,,
149295,-2.428333,51.623055,204.9,"(0.620275, -0.0263045, 0.783943)",315,600.0,<pygplates.pygplates.Feature object at 0x0000029072425C10>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.931226082952234,35.333780663022615,,,,,,
