occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
30261,6.516667,46.833332,138.3,"(0.679703, 0.0776426, 0.729367)",305,420.0,<pygplates.pygplates.Feature object at 0x0000021271778EB0>,,,,,,,,,,,,,,,,,,,,,,,,,,,33.25329534554414,33.376896622524896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.25329534554414,33.376896622524896,,,,,,,,,,,,
30690,6.516667,46.833332,106.75,"(0.679703, 0.0776426, 0.729367)",305,420.0,<pygplates.pygplates.Feature object at 0x0000021271778DD0>,,,,,,,,,,,,,,,,,,,,,25.468932873304315,38.466987391051916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.468932873304315,38.466987391051916,,,,,,,,,,,,,,,,,,
40163,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x0000021271778CF0>,,,,,,,,,,,-45.901850641501724,36.87884622653915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45.901850641501724,36.87884622653915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40167,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x0000021271778D60>,,,,,,,,,,,-45.901850641501724,36.87884622653915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45.901850641501724,36.87884622653915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40168,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x0000021271778F20>,,,,,,,,,,,-45.901850641501724,36.87884622653915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45.901850641501724,36.87884622653915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137487,99.599998,43.299999,77.05,"(-0.12137, 0.717581, 0.685818)",451,410.0,<pygplates.pygplates.Feature object at 0x0000021271778F90>,,,,,,,,,,,,,,,98.1168613983426,43.21556496300005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1168613983426,43.21556496300005,,,,,,,,,,,,,,,,,,,,,,,,
146083,-65.940002,-17.687,68.3,"(0.388422, -0.869956, -0.303817)",201,520.0,<pygplates.pygplates.Feature object at 0x0000021271778E40>,,,,,,,,,,,,,-47.30298086436231,-22.03510740230145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.30298086436231,-22.03510740230145,,,,,,,,,,,,,,,,,,,,,,,,,,
147094,-107.199997,35.700001,77.05,"(-0.24014, -0.775766, 0.583541)",101,1800.0,<pygplates.pygplates.Feature object at 0x0000021271778C80>,,,,,,,,,,,,,,,-71.09725159454898,43.00225791474271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.09725159454898,43.00225791474271,,,,,,,,,,,,,,,,,,,,,,,,
149325,-106.099998,47.799999,68.3,"(-0.186278, -0.645375, 0.740805)",101,3900.0,<pygplates.pygplates.Feature object at 0x0000021271778C10>,,,,,,,,,,,,,-67.08274235029015,54.18757823830361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.08274235029015,54.18757823830361,,,,,,,,,,,,,,,,,,,,,,,,,,
149326,-106.099998,47.799999,68.3,"(-0.186278, -0.645375, 0.740805)",101,3900.0,<pygplates.pygplates.Feature object at 0x0000021271776120>,,,,,,,,,,,,,-67.08274235029015,54.18757823830361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.08274235029015,54.18757823830361,,,,,,,,,,,,,,,,,,,,,,,,,,
