occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
30261,6.516667,46.833332,138.3,"(0.679703, 0.0776426, 0.729367)",305,600.0,<pygplates.pygplates.Feature object at 0x00000212716A7EB0>,,,,,,,,,,,,,,,,,,,,,,,,,,,15.627929170106912,37.673274616021274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.627929170106912,37.673274616021274,,,,,,,,,,,,
30690,6.516667,46.833332,106.75,"(0.679703, 0.0776426, 0.729367)",305,600.0,<pygplates.pygplates.Feature object at 0x00000212716A7DD0>,,,,,,,,,,,,,,,,,,,,,10.196497245762174,35.99453171554944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.196497245762174,35.99453171554944,,,,,,,,,,,,,,,,,,
40163,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x00000212716A7CF0>,,,,,,,,,,,-56.49324310627541,40.174881670561916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.49324310627541,40.174881670561916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40167,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x00000212716A7D60>,,,,,,,,,,,-56.49324310627541,40.174881670561916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.49324310627541,40.174881670561916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40168,-74.683334,39.971943,57.6,"(0.202437, -0.739139, 0.642412)",109,600.0,<pygplates.pygplates.Feature object at 0x00000212716A7F20>,,,,,,,,,,,-56.49324310627541,40.174881670561916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.49324310627541,40.174881670561916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137487,99.599998,43.299999,77.05,"(-0.12137, 0.717581, 0.685818)",628,540.0,<pygplates.pygplates.Feature object at 0x00000212716A7F90>,,,,,,,,,,,,,,,90.24487101701197,38.724574708721185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.24487101701197,38.724574708721185,,,,,,,,,,,,,,,,,,,,,,,,
146083,-65.940002,-17.687,68.3,"(0.388422, -0.869956, -0.303817)",201,600.0,<pygplates.pygplates.Feature object at 0x00000212716A7E40>,,,,,,,,,,,,,-53.25767422888719,-20.565533070967852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.25767422888719,-20.565533070967852,,,,,,,,,,,,,,,,,,,,,,,,,,
147094,-107.199997,35.700001,77.05,"(-0.24014, -0.775766, 0.583541)",133,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A7C80>,,,,,,,,,,,,,,,-80.77926659324446,44.68812969776561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.77926659324446,44.68812969776561,,,,,,,,,,,,,,,,,,,,,,,,
149325,-106.099998,47.799999,68.3,"(-0.186278, -0.645375, 0.740805)",101,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A7C10>,,,,,,,,,,,,,-81.29611670842793,53.81737945503074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.29611670842793,53.81737945503074,,,,,,,,,,,,,,,,,,,,,,,,,,
149326,-106.099998,47.799999,68.3,"(-0.186278, -0.645375, 0.740805)",101,4500.0,<pygplates.pygplates.Feature object at 0x00000212716A9120>,,,,,,,,,,,,,-81.29611670842793,53.81737945503074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.29611670842793,53.81737945503074,,,,,,,,,,,,,,,,,,,,,,,,,,
