"r_number","lng","lat","mid_ma"
2655,-175.2,-21.15,3.95
1092,-169.9167,-19.0333,11.3
3970,-158.2667,21.5667,0.05
3986,-158.1167,-19.9833,0.45
3969,-158.0667,21.6167,0.05
3255,-157.9667,21.3333,0.05
3971,-157.7167,21.45,0.05
3985,-157.7167,-19.8167,0.05
3987,-157.3333,-20.15,0.4
2080,-151.7167,-16.5,3.95
2652,-151.35,-22.45,8.45
3906,-128.3167,-24.3667,0.45
3990,-110.95,25.3,0.05
1140,-96.0833,30.9167,138.95
2881,-92.8833,17.1167,25.55
821,-88.7667,15.8,19.5
3943,-87.8167,18.1167,0.05
3814,-87.1208,20.5778,0.05
3597,-83.0833,9.9833,3.3
3601,-81.9,9.1333,13.8
2044,-81.7,12.5333,19.5
2045,-81.7,12.5333,14.9
2046,-81.7,12.5333,7.1
3752,-81.25,19.3333,0.05
2732,-81.1667,19.3167,19.6
3981,-80.1,19.65,0.05
645,-78.8,26.5,2.65
3242,-77.4,18.4667,2.65
3800,-77.3333,18.5,0.05
3566,-77.1167,18.3667,35.95
3567,-77.1,18.2167,35.95
3240,-76.4347,18.1861,2.65
3241,-76.4181,18.1847,2.3
3239,-76.2806,17.8833,3.1
3595,-75.2,20.1333,28.45
3801,-74.5167,24.0333,0.05
1949,-71.5,-44.85,148.55
786,-71.4,19.6667,8.45
3902,-71.3,19.5333,7.1
414,-70.2833,-38.7,160.4
569,-69.7833,-35.9167,160.4
3238,-69.5167,18.4167,0.05
3751,-69.0667,12.2833,0.05
1352,-67.9167,18.1667,8.45
1350,-67.0333,18.5167,13.8
1351,-67.0333,18.5167,8.45
1347,-66.9167,17.9833,25.55
644,-66.75,18.05,25.55
1349,-66.6333,18.0167,13.8
1348,-66.5,18.4167,25.55
703,-64.8333,17.6667,17.1
3952,-64.7667,32.2667,0.05
3819,-64.6167,11.85,0.05
757,-61.8,17.6833,13.8
2072,-61.6833,17.0333,27.05
3820,-59.5333,13.0667,0.05
2028,-16.3333,33.05,8.45
2062,-16.3333,33.05,13.8
2855,-9.7667,30.6167,154.7
388,-9.6667,32.55,160.4
2751,-9.0514,39.1958,160.4
497,-9.05,38.95,154.7
499,-8.1,37.15,154.7
3482,-7.9667,37.1667,157.3
353,-6.2667,31.6833,186.75
389,-5.6667,33.85,186.75
3583,-5.6167,33.65,8.45
387,-5.1667,33.5333,186.75
354,-5,33.5,186.75
356,-4.7167,32.6833,176.5
375,-4.3597,32.1597,169.7
355,-4.1667,34,186.75
1238,-3.9333,43.4667,97.2
1472,-3.7528,36.95,9.45
1473,-3.5333,37.15,9.45
352,-3.4333,32.2667,186.75
2000,-3.25,34.1833,8.15
377,-3,33,169.7
3582,-2.65,35,6.3
406,-2.6333,42.2333,154.7
662,-2.35,37.35,8.15
666,-2.2167,36.95,8.45
407,-2.15,41.7833,154.7
664,-2.1167,37.15,6.3
697,-2.0833,42.85,57.6
696,-1.95,42.8667,63.8
728,-1.95,42.8667,63.8
3584,-1.9333,34.6333,8.45
351,-1.6667,32.5167,186.75
357,-1.6667,34.25,176.5
376,-1.6667,34.25,169.7
3233,-1.6667,32.5167,196.05
500,-1.6167,40.3389,154.7
501,-1.4167,40.15,151.15
502,-1.4,40.25,154.7
