r_number,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
2655,-175.2,-21.15,3.95,"(-0.929368, -0.0780412, -0.360811)",821,40.0,<pygplates.pygplates.Feature object at 0x0000029070397580>,-176.80901361858022,-21.490449105688185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,-169.9167,-19.0333,11.3,"(-0.930728, -0.165508, -0.326118)",982,100.0,<pygplates.pygplates.Feature object at 0x0000029070397660>,,,-158.66154209476178,-20.73350429495724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970,-158.2667,21.5667,0.05,"(-0.863884, -0.344363, 0.367584)",901,83.0,<pygplates.pygplates.Feature object at 0x0000029070397740>,-153.75089662512494,20.837527412470788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3986,-158.1167,-19.9833,0.45,"(-0.872075, -0.350277, -0.341746)",982,86.0,<pygplates.pygplates.Feature object at 0x00000290703976D0>,-154.26810424790884,-20.70965447479413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969,-158.0667,21.6167,0.05,"(-0.862379, -0.347257, 0.368396)",901,83.0,<pygplates.pygplates.Feature object at 0x0000029070397510>,-153.55103320568708,20.884467489341514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255,-157.9667,21.3333,0.05,"(-0.86345, -0.34944, 0.363793)",901,83.0,<pygplates.pygplates.Feature object at 0x00000290703975F0>,-153.45649981221462,20.599582161792053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,-157.7167,21.45,0.05,"(-0.86123, -0.352923, 0.365689)",901,83.0,<pygplates.pygplates.Feature object at 0x00000290703977B0>,-153.20572837743882,20.712468063572853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3985,-157.7167,-19.8167,0.05,"(-0.870525, -0.356732, -0.339012)",982,86.0,<pygplates.pygplates.Feature object at 0x0000029070397820>,-153.86336562810942,-20.54921995389575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3987,-157.3333,-20.15,0.4,"(-0.866284, -0.361783, -0.344479)",982,86.0,<pygplates.pygplates.Feature object at 0x00000290703974A0>,-153.48397707227923,-20.88833083892358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,-151.7167,-16.5,3.95,"(-0.844352, -0.454319, -0.284015)",901,67.7,<pygplates.pygplates.Feature object at 0x0000029070397430>,-147.7828017067939,-17.320566219157104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,-151.35,-22.45,8.45,"(-0.811057, -0.443121, -0.381877)",983,86.0,<pygplates.pygplates.Feature object at 0x0000029070397350>,-147.5074919177094,-23.275000271689272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3906,-128.3167,-24.3667,0.45,"(-0.56478, -0.714707, -0.412575)",901,20.1,<pygplates.pygplates.Feature object at 0x0000029070397120>,-124.32809368638183,-25.435079596972667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3990,-110.95,25.3,0.05,"(-0.323258, -0.844316, 0.427358)",105,150.0,<pygplates.pygplates.Feature object at 0x0000029070397270>,-106.79208219665311,23.964062184686114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,-96.0833,30.9167,138.95,"(-0.0909169, -0.853084, 0.513791)",101,600.0,<pygplates.pygplates.Feature object at 0x0000029070397200>,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.559397903737352,32.24655830917916,,,,,,,,,,,,,,,,,,,,
2881,-92.8833,17.1167,25.55,"(-0.0480738, -0.954497, 0.294319)",205,250.0,<pygplates.pygplates.Feature object at 0x00000290703972E0>,,,,,-84.06330124713449,14.943315186145442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,-88.7667,15.8,19.5,"(0.0207103, -0.961995, 0.27228)",211,120.0,<pygplates.pygplates.Feature object at 0x00000290703970B0>,,,-83.53857302285918,14.210341678544879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943,-87.8167,18.1167,0.05,"(0.0362079, -0.949735, 0.310953)",205,250.0,<pygplates.pygplates.Feature object at 0x0000029070397190>,-85.97949127142468,17.52098505274918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3814,-87.1208,20.5778,0.05,"(0.0470255, -0.935014, 0.351479)",205,250.0,<pygplates.pygplates.Feature object at 0x00000290703973C0>,-85.20411247893115,19.96004301025982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3597,-83.0833,9.9833,3.3,"(0.118603, -0.977691, 0.173361)",231,30.0,<pygplates.pygplates.Feature object at 0x0000029070396EB0>,-82.36299971767384,9.112190870672796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3601,-81.9,9.1333,13.8,"(0.139115, -0.977472, 0.158732)",230,5.4,<pygplates.pygplates.Feature object at 0x0000029070396D60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,-81.7,12.5333,19.5,"(0.140916, -0.965945, 0.217007)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396F20>,,,-78.62782177494869,10.157488896352705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,-81.7,12.5333,14.9,"(0.140916, -0.965945, 0.217007)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396E40>,,,-78.62782177494869,10.157488896352705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,-81.7,12.5333,7.1,"(0.140916, -0.965945, 0.217007)",222,110.0,<pygplates.pygplates.Feature object at 0x0000029070396DD0>,-80.7362111150312,11.678941748462165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
