r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
2655,-21.15,-175.2,3.95,"(-0.929368, -0.0780412, -0.360811)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D200>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,-19.0333,-169.9167,11.3,"(-0.930728, -0.165508, -0.326118)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D190>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970,21.5667,-158.2667,0.05,"(-0.863884, -0.344363, 0.367584)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D0B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3986,-19.9833,-158.1167,0.45,"(-0.872075, -0.350277, -0.341746)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D120>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969,21.6167,-158.0667,0.05,"(-0.862379, -0.347257, 0.368396)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9CF90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255,21.3333,-157.9667,0.05,"(-0.86345, -0.34944, 0.363793)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D040>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,21.45,-157.7167,0.05,"(-0.86123, -0.352923, 0.365689)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D270>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3985,-19.8167,-157.7167,0.05,"(-0.870525, -0.356732, -0.339012)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D2E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3987,-20.15,-157.3333,0.4,"(-0.866284, -0.361783, -0.344479)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D350>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,-16.5,-151.7167,3.95,"(-0.844352, -0.454319, -0.284015)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D3C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,-22.45,-151.35,8.45,"(-0.811057, -0.443121, -0.381877)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D430>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3906,-24.3667,-128.3167,0.45,"(-0.56478, -0.714707, -0.412575)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D4A0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3990,25.3,-110.95,0.05,"(-0.323258, -0.844316, 0.427358)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D510>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,30.9167,-96.0833,138.95,"(-0.0909169, -0.853084, 0.513791)",101,1100.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9D890>,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.56521358349001,32.75555386965104,,,,,,,,,,,,
2881,17.1167,-92.8833,25.55,"(-0.0480738, -0.954497, 0.294319)",205,550.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9D5F0>,,,,,-86.72698418520616,15.254226166011977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,15.8,-88.7667,19.5,"(0.0207103, -0.961995, 0.27228)",205,550.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9D660>,,,-84.94841730657866,14.204436266250866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943,18.1167,-87.8167,0.05,"(0.0362079, -0.949735, 0.310953)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D580>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3814,20.5778,-87.1208,0.05,"(0.0470255, -0.935014, 0.351479)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D900>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3597,9.9833,-83.0833,3.3,"(0.118603, -0.977691, 0.173361)",243,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9D6D0>,-82.65769813592982,9.134152279486289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3601,9.1333,-81.9,13.8,"(0.139115, -0.977472, 0.158732)",244,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9D7B0>,,,-80.2314470009452,6.488164846317793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,12.5333,-81.7,19.5,"(0.140916, -0.965945, 0.217007)",239,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9D970>,,,-80.45086222551714,10.17567516289389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,12.5333,-81.7,14.9,"(0.140916, -0.965945, 0.217007)",239,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9D9E0>,,,-80.45086222551714,10.17567516289389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,12.5333,-81.7,7.1,"(0.140916, -0.965945, 0.217007)",239,135.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9D820>,-81.21159132797054,11.648095091239925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3752,19.3333,-81.25,0.05,"(0.143545, -0.932627, 0.331063)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9D740>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,19.3167,-81.1667,19.6,"(0.144915, -0.932512, 0.330789)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD8D9DB30>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
