r_number,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
2655,-175.2,-21.15,3.95,"(-0.929368, -0.0780412, -0.360811)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EC80>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,-169.9167,-19.0333,11.3,"(-0.930728, -0.165508, -0.326118)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EC10>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970,-158.2667,21.5667,0.05,"(-0.863884, -0.344363, 0.367584)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EB30>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3986,-158.1167,-19.9833,0.45,"(-0.872075, -0.350277, -0.341746)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EBA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969,-158.0667,21.6167,0.05,"(-0.862379, -0.347257, 0.368396)",,inf,<pygplates.pygplates.Feature object at 0x000002907038ECF0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255,-157.9667,21.3333,0.05,"(-0.86345, -0.34944, 0.363793)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EAC0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,-157.7167,21.45,0.05,"(-0.86123, -0.352923, 0.365689)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EA50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3985,-157.7167,-19.8167,0.05,"(-0.870525, -0.356732, -0.339012)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EF90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3987,-157.3333,-20.15,0.4,"(-0.866284, -0.361783, -0.344479)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EDD0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,-151.7167,-16.5,3.95,"(-0.844352, -0.454319, -0.284015)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EE40>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,-151.35,-22.45,8.45,"(-0.811057, -0.443121, -0.381877)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EEB0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3906,-128.3167,-24.3667,0.45,"(-0.56478, -0.714707, -0.412575)",,inf,<pygplates.pygplates.Feature object at 0x000002907038EF20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3990,-110.95,25.3,0.05,"(-0.323258, -0.844316, 0.427358)",105,150.0,<pygplates.pygplates.Feature object at 0x000002907038C190>,-108.80184698432491,26.21386520763364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,-96.0833,30.9167,138.95,"(-0.0909169, -0.853084, 0.513791)",101,600.0,<pygplates.pygplates.Feature object at 0x000002907038C040>,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.04103486325152,26.09517418989038,,,,,,,,,,,,,,,,,,,,
2881,-92.8833,17.1167,25.55,"(-0.0480738, -0.954497, 0.294319)",205,200.0,<pygplates.pygplates.Feature object at 0x000002907038C4A0>,,,,,-84.43654925878573,21.092178768450648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,-88.7667,15.8,19.5,"(0.0207103, -0.961995, 0.27228)",205,200.0,<pygplates.pygplates.Feature object at 0x000002907038C120>,,,-83.96540655547277,18.389368508321823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3943,-87.8167,18.1167,0.05,"(0.0362079, -0.949735, 0.310953)",205,200.0,<pygplates.pygplates.Feature object at 0x000002907038C350>,-86.24221714896223,19.05034880273377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3814,-87.1208,20.5778,0.05,"(0.0470255, -0.935014, 0.351479)",205,200.0,<pygplates.pygplates.Feature object at 0x000002907038C2E0>,-85.48335110217188,21.49604267058217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3597,-83.0833,9.9833,3.3,"(0.118603, -0.977691, 0.173361)",204,145.0,<pygplates.pygplates.Feature object at 0x000002907038C0B0>,-82.10799284660153,10.773132180090323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3601,-81.9,9.1333,13.8,"(0.139115, -0.977472, 0.158732)",230,5.4,<pygplates.pygplates.Feature object at 0x000002907038C200>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,-81.7,12.5333,19.5,"(0.140916, -0.965945, 0.217007)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038C3C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,-81.7,12.5333,14.9,"(0.140916, -0.965945, 0.217007)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038C430>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,-81.7,12.5333,7.1,"(0.140916, -0.965945, 0.217007)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038C580>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3752,-81.25,19.3333,0.05,"(0.143545, -0.932627, 0.331063)",206,143.0,<pygplates.pygplates.Feature object at 0x000002907038C660>,-79.61288403151354,20.121986645952994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,-81.1667,19.3167,19.6,"(0.144915, -0.932512, 0.330789)",206,143.0,<pygplates.pygplates.Feature object at 0x000002907038C5F0>,,,-76.01403645100193,21.382883066532813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981,-80.1,19.65,0.05,"(0.161917, -0.927741, 0.336274)",206,143.0,<pygplates.pygplates.Feature object at 0x000002907038C6D0>,-78.44934861038536,20.412138548891562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,-78.8,26.5,2.65,"(0.173827, -0.87789, 0.446198)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038C740>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3242,-77.4,18.4667,2.65,"(0.206911, -0.925665, 0.316753)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038C7B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,-77.3333,18.5,0.05,"(0.207948, -0.925243, 0.317305)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038C820>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566,-77.1167,18.3667,35.95,"(0.211608, -0.925168, 0.315098)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038C270>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3567,-77.1,18.2167,35.95,"(0.212061, -0.925907, 0.312612)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038C900>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240,-76.4347,18.1861,2.65,"(0.222837, -0.923545, 0.312104)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038C970>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3241,-76.4181,18.1847,2.3,"(0.223106, -0.923487, 0.312081)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038C9E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3239,-76.2806,17.8833,3.1,"(0.225708, -0.924531, 0.307079)",,0.0,<pygplates.pygplates.Feature object at 0x000002907038CA50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595,-75.2,20.1333,28.45,"(0.239837, -0.907745, 0.344205)",206,143.0,<pygplates.pygplates.Feature object at 0x000002907038CAC0>,,,,,-66.15569635369343,22.129614118069778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3801,-74.5167,24.0333,0.05,"(0.243815, -0.880163, 0.407268)",,inf,<pygplates.pygplates.Feature object at 0x000002907038ED60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,-71.5,-44.85,148.55,"(0.224955, -0.672319, -0.705253)",291,600.0,<pygplates.pygplates.Feature object at 0x000002907038CB30>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.235231490250708,-51.726355381772606,,,,,,,,,,,,,,,,,,
786,-71.4,19.6667,8.45,"(0.300353, -0.892482, 0.336548)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CC10>,-70.1526788855017,20.169252575659133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3902,-71.3,19.5333,7.1,"(0.302161, -0.892696, 0.334355)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CC80>,-70.05552756460783,20.033802374809117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,-70.2833,-38.7,160.4,"(0.263294, -0.734676, -0.625243)",291,600.0,<pygplates.pygplates.Feature object at 0x000002907038CF90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.798011325352572,-41.69851355330574,,,,,,,,,,,,,,
569,-69.7833,-35.9167,160.4,"(0.279868, -0.759976, -0.586608)",291,600.0,<pygplates.pygplates.Feature object at 0x000002907038CCF0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.822948650001663,-38.88702443780228,,,,,,,,,,,,,,
3238,-69.5167,18.4167,0.05,"(0.332012, -0.888796, 0.315926)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CF20>,-68.29368344669638,18.88008950600812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3751,-69.0667,12.2833,0.05,"(0.349102, -0.912616, 0.212746)",203,600.0,<pygplates.pygplates.Feature object at 0x000002907038CE40>,-67.50469602184886,12.552395636815229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,-67.9167,18.1667,8.45,"(0.357214, -0.880449, 0.311783)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CD60>,-66.69579673340424,18.596230702039954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,-67.0333,18.5167,13.8,"(0.369996, -0.873067, 0.317581)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038CDD0>,,,-63.514385716449624,19.490833734419525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,-67.0333,18.5167,8.45,"(0.369996, -0.873067, 0.317581)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038C890>,-65.8021253045677,18.927269136004984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,-66.9167,17.9833,25.55,"(0.372915, -0.874994, 0.30874)",252,110.0,<pygplates.pygplates.Feature object at 0x000002907038C510>,,,,,-61.62271613831951,19.027640719381406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
